# VSOP87 -> DE406 ICRS 地心太阳改正（Chapront 2000 混合项）。T = (JD−J2000)/365250 儒略千年。
# Δ = secular(a0..a3) + Σ (c0+c1*T)cos(f*T) + (s0+s1*T)sin(f*T)。RA/Dec 角秒，R AU。
# 段：[RA] 4 个长期项 + 23 行 (freq c0 s0 c1 s1)；[Dec] 4+25；[R] 4+24。

[RA]
2.74309587572755e-23 0.0849763982910627 -0.1726547972212061 -0.06742795589101126
6283.0758499914 -0.004449783756634288 -0.0024039215739610747 -0.024998231055164483 0.049999999999753124
12566.1516999828 0.0033304532566057546 -0.00608402988581136 0.022325166783285003 -0.010488297878016119
5753.3848848968 0.00019257855256936835 -0.00023875002173710545 0.0011936224495807677 -0.002693064779626258
3.523118349 0.04999999999999992 0.00886937919103389 -0.00639660870787148 0.009489952584553455
77713.7714681205 -0.00045612300141667506 -0.0007423987085381695 0.0031059586087189227 0.006346660081711277
7860.4193924392 -0.0001400962809468877 4.6773686742996265e-05 -8.954066725388805e-05 0.0005074128949968182
3930.2096962196 0.0006357503563102143 0.00027734453677815004 -0.00020522748228417412 0.00033050556633443533
11506.7697697936 0.0004103163923610003 7.174884475063138e-05 0.0012758397616443808 0.0015186873483065977
529.6909650946 0.0006695604240350465 0.00038627423181310434 -0.006162394417860844 -0.00012310430301712335
1577.3435424478 9.695370958698018e-05 -0.00018505628306381142 0.0013243426708805248 -0.0006780372147256003
5884.9268465832 0.00032764295673769607 0.0004151764672621726 4.590964049595842e-06 9.242219070876545e-05
26.2983197998 -0.0003064042260907294 -0.0011212829540976491 -0.019983015809086586 -0.011339598344975482
398.1490034082 0.00041340813886445117 0.0001633693159928341 0.0004468193095222037 0.0012203178525399868
5223.6939198022 9.610801389700823e-05 0.0002140788212587368 0.002183967296093908 -0.0007919900191615765
5507.5532386674 -0.0005975880996645894 -0.00045181359867480045 -0.0003982383775444921 -0.0011078575932176498
18849.2275499742 0.03930954106476103 -0.049999999999999975 0.049999999999999996 0.04999999999999597
775.522611324 9.627771617318571e-06 8.498653213242126e-05 -0.0023199447553874583 0.00130585985974744
11790.6290886588 3.7867689645611216e-05 0.00010828425944010014 -0.00044817238071701736 -1.40291892689701e-05
796.2980068164 -0.00018093977892084668 -7.082187987512879e-05 -0.002210274273825802 0.00016704871569597323
10977.078804699 -0.00018885404135372312 -0.00019246715581711942 0.0008809879179567529 0.0011731706877071211
5486.777843175 0.0001300435751137716 0.00012677682535943156 4.1573438390415695e-05 0.0003612852163258156
2544.3144198834 -0.00012558709334257247 8.108678214495045e-05 -0.00019010293621761942 6.945371042461368e-05
5573.1428014331 0.00012434923827129275 0.0001898522303108503 -0.0004657447184689356 0.0002270130471748551

[Dec]
0.0001903783727719782 -0.0008329870332084839 0.0015159876700159092 -0.0010716627399642907
84334.66158130829 -1.6157908041830067e-05 -8.470519519564053e-05 -2.4953994836868663e-05 0.0004849939052274499
5507.5532386674 -5.581552104867323e-05 1.5817186281245957e-05 -4.398293012012115e-05 0.0005121593396005216
5223.6939198022 -2.301027324483991e-05 1.3464192554957373e-05 -0.0007042722204202167 0.00015909153489847242
2352.8661537718 -7.9194825435789e-05 -0.00017036039532648454 -0.00027236861092791307 0.00025003704375788115
1577.3435424478 -1.448986213720006e-05 -5.4913946525973954e-05 -0.00034540430897604104 -0.0001364888418961104
1047.7473117547 -0.00015167929526737215 -2.601209920372177e-05 -0.0004426447954174231 -1.1125836928850017e-05
6283.0758499914 0.0027903627889220477 0.05823321060420029 -0.025616899057258637 -0.03744801131067896
5856.4776591154 -3.50126188115543e-05 9.103615867592265e-05 -0.00022170134142690824 -1.998836658898845e-05
9437.762934887 4.277254545804547e-05 -0.00024341115337703 -0.0008248142597245163 -0.00016673366570090617
