# VSOP87 -> DE406 黄道改正（Chapront 2000 混合项）。T = (JD−J2000)/365250 儒略千年。
# Δ = secular(a0..a3) + Σ (c0+c1*T)cos(f*T) + (s0+s1*T)sin(f*T)。L/B 角秒，R AU。
# 段：[L] 4 个长期项 + 若干行 (freq c0 s0 c1 s1)；[B] 4+若干；[R] 4+若干。

[L]
-0.0009999999999999998 0.10550754356415648 -0.08607449335406317 -0.03581457242504816
6283.0758499914 -0.0012959444747940015 -0.0008231824943854412 -0.021107589884345003 0.04999986335287127
12566.1516999828 0.009651575042220752 -0.008283912244677765 0.012283738395846374 -0.00321731051728258
5753.3848848968 -0.0005410473837008685 -0.00011536005511656113 0.0006340415510047192 -0.0023347020439919266
3.523118349 0.04792138810787309 0.02086841633169239 -0.00023786135507125107 -0.015216849630417658
77713.7714681205 -0.0012640477547302173 -0.0014661751556882881 0.002799494207332651 0.005824810338564725
7860.4193924392 -3.1118660932565814e-05 0.00039451904347415924 -5.992466597052368e-05 0.000571796862297959
3930.2096962196 0.0008100966385915426 -0.0007215843349959304 -0.00010567102674429552 3.130992887198677e-05
11506.7697697936 0.0014442708152223546 -0.0022133216499597747 0.0016601250073038911 0.00031608759129290434
529.6909650946 0.001419534948424008 0.0002712365639090159 -0.005660461849042505 -0.0003256479335480644
1577.3435424478 -0.0011924593359291522 0.0006499024195975404 0.00047266996949865415 -0.00047986923616667715
5884.9268465832 0.0012011944380126338 0.0009938617625398483 0.00018774668043281963 0.00042495263750291144
26.2983197998 -0.005304562062239569 -0.0013453210387828292 -0.02189536363790641 -0.010134453754074665
398.1490034082 -0.0006073466605454211 -0.0009863870960888947 -3.057935265326042e-05 0.00018527069207044397
5223.6939198022 -9.490486485203325e-05 0.00115167918297823 0.001959157215213367 -0.00027684202805023967
5507.5532386674 -0.0003625867893797421 -0.001178697100430881 -0.00022447620894352512 -0.0013157665344070283
18849.2275499742 -0.0076335149613682 -0.02210271128565238 0.0499999616155012 0.040307596357197634
775.522611324 0.0012495587339380377 -0.0012470915383231372 -0.0019257906494510567 0.0001943134913526245
11790.6290886588 0.00017913747360181415 -0.00039352332373882503 -3.477313298600954e-05 -0.0001969300630690881
796.2980068164 0.0009556623293213251 0.0005627375934930816 -0.0016980162513698432 0.0002470649664854993
10977.078804699 -0.0018472634575784806 -0.0010232228341835422 0.00019230061097151395 0.0008510614793827621
5486.777843175 0.00019483794044384235 -0.0011634467951331996 6.395556493627915e-05 -0.0001770036803206377
2544.3144198834 0.001271241511368561 -0.00032266770904154277 0.00032669169857755365 -2.1751225125985984e-05
5573.1428014331 0.0006879546277736887 0.0003712849938366178 -5.047318837852202e-07 0.00031515911530674735

[B]
-0.0009984147190523055 0.0019591183883775017 0.0019524074746755736 0.0005056491989195775
